"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
37, 5.073530488727553e-02, 2.775781451359605e-02, 8.391491110603583e-01, 3.013420977990137e+02, 7.671567644241006e+01, 1.984393708367831e+05, 5.633041499800854e+04, 2.338482677816563e+02, 1.208762577572103e+00, -1.193687212548973e+00
38, 5.304438745889686e-02, 2.834628108885427e-02, 8.495301815145438e-01, 3.027542675537161e+02, 7.693428508885117e+01, 2.006385708557907e+05, 5.728295888392557e+04, 2.348967323598750e+02, 1.196773886367253e+00, -1.168416628189532e+00
39, 5.540279818081784e-02, 2.894731887660502e-02, 8.594973516454876e-01, 3.044507255398973e+02, 7.758849531068770e+01, 2.027977866457062e+05, 5.814982482920551e+04, 2.356862320120309e+02, 1.187737757910690e+00, -1.145419043172823e+00
40, 5.781131265562350e-02, 2.956112553811975e-02, 8.573270325406117e-01, 3.052784990458047e+02, 7.591328322008293e+01, 2.024099159039877e+05, 5.787877604497586e+04, 2.351815054812531e+02, 1.193515448284643e+00, -1.152609852193454e+00
41, 6.027800693952004e-02, 3.015771077312313e-02, 8.469168590271448e-01, 3.044923342728144e+02, 7.175270749937167e+01, 2.001705507013070e+05, 5.695756151366002e+04, 2.342830962675080e+02, 1.203792000446307e+00, -1.177049282093682e+00
42, 6.280393572909873e-02, 3.073610399021274e-02, 8.467782839757323e-01, 3.045764954818318e+02, 6.964680955631982e+01, 2.001016123080534e+05, 5.698442784050594e+04, 2.344319637755329e+02, 1.202089806893212e+00, -1.176336529863548e+00
43, 6.538259518935075e-02, 3.132657160242222e-02, 8.564309002641799e-01, 3.057127289392415e+02, 6.990198499533930e+01, 2.021308778112452e+05, 5.788574398516432e+04, 2.354559320223535e+02, 1.190374446360320e+00, -1.152424995702381e+00
44, 6.801475567216299e-02, 3.192929000676957e-02, 8.633598561794200e-01, 3.073913366830042e+02, 7.038563523585394e+01, 2.036833570690624e+05, 5.843692972512537e+04, 2.357902723227168e+02, 1.186546378896522e+00, -1.137802272334630e+00
45, 7.070118294540700e-02, 3.254443455061398e-02, 8.562347076414681e-01, 3.073632624243729e+02, 6.760630156269168e+01, 2.022082511330297e+05, 5.774880562014051e+04, 2.349527451809053e+02, 1.196133052818593e+00, -1.156057912312881e+00
46, 7.345327184643544e-02, 3.312337469227806e-02, 8.481288337410886e-01, 3.063971683318172e+02, 6.394728748660911e+01, 2.004273839271150e+05, 5.706868975403580e+04, 2.344047558371522e+02, 1.202400928640831e+00, -1.174101097118006e+00
47, 7.626340347121752e-02, 3.370470742842766e-02, 8.534306270369858e-01, 3.071578853793267e+02, 6.342857426655593e+01, 2.015416895902796e+05, 5.756403453925231e+04, 2.349705027345446e+02, 1.195929883682978e+00, -1.160959810541197e+00
48, 7.913032292552860e-02, 3.429778787917859e-02, 8.615918221597230e-01, 3.083056961206372e+02, 6.374637526316265e+01, 2.032793928714077e+05, 5.830411012350847e+04, 2.357371063822109e+02, 1.187155206930815e+00, -1.141325919902864e+00
49, 8.205477148977755e-02, 3.490276939342188e-02, 8.633781029848797e-01, 3.093762325408068e+02, 6.323805169121506e+01, 2.037314978733307e+05, 5.839432873962039e+04, 2.356133997371025e+02, 1.188571684380363e+00, -1.138932458370062e+00
50, 8.504031164241822e-02, 3.550544980284840e-02, 8.554030032584561e-01, 3.088490486142244e+02, 6.020106905957691e+01, 2.020387962848581e+05, 5.766575093803689e+04, 2.348429496378471e+02, 1.197389170369719e+00, -1.158261317721888e+00
51, 8.809314920886438e-02, 3.607816740164882e-02, 8.524513436155460e-01, 3.083959770063494e+02, 5.784501369777167e+01, 2.013624778670062e+05, 5.744593101140106e+04, 2.347577930146301e+02, 1.198363307347226e+00, -1.164093046928347e+00
52, 9.120589652385883e-02, 3.666212417272308e-02, 8.597228133919013e-01, 3.092961369868985e+02, 5.794671461190406e+01, 2.028941724299978e+05, 5.812189033570671e+04, 2.355112322434569e+02, 1.189741380904737e+00, -1.146160133410172e+00
53, 9.437925233350763e-02, 3.725745120204718e-02, 8.654578573481627e-01, 3.106131898241023e+02, 5.825243802782423e+01, 2.041694749352731e+05, 5.858777530189593e+04, 2.358258602843541e+02, 1.186138823368387e+00, -1.133800403308555e+00
54, 9.761390113185890e-02, 3.786427690188649e-02, 8.608705091653311e-01, 3.106593880694252e+02, 5.628713474868210e+01, 2.032299155117690e+05, 5.813459331931750e+04, 2.352486574200935e+02, 1.192746935435253e+00, -1.145823128655117e+00
55, 1.009179934473661e-01, 3.844093649470300e-02, 8.546912490627614e-01, 3.098697105907822e+02, 5.348432220993788e+01, 2.018761362849483e+05, 5.761231887206151e+04, 2.348207353298243e+02, 1.197643296007646e+00, -1.159678847717821e+00
56, 1.042872132885794e-01, 3.901530379527143e-02, 8.582105658498299e-01, 3.103126563330563e+02, 5.284551768229714e+01, 2.026059843122211e+05, 5.795095268175267e+04, 2.352323613369476e+02, 1.192933439296955e+00, -1.150695036702624e+00
57, 1.077198696843676e-01, 3.960048543397326e-02, 8.643571807103538e-01, 3.112980771379900e+02, 5.303740861180363e+01, 2.039262492148904e+05, 5.849683019665704e+04, 2.357596262550122e+02, 1.186897325924893e+00, -1.136213138289059e+00
58, 1.112165792042311e-01, 4.019658652041135e-02, 8.647063857367796e-01, 3.120085903507816e+02, 5.232369730246547e+01, 2.040560646099537e+05, 5.847303515992820e+04, 2.355685541951424e+02, 1.189085129325102e+00, -1.136844410498017e+00
59, 1.147810704989078e-01, 4.078446167947376e-02, 8.585275018233114e-01, 3.114621525799294e+02, 4.987199496221166e+01, 2.027367321365805e+05, 5.791642817238774e+04, 2.350054335457329e+02, 1.195530219329660e+00, -1.151610957259434e+00
60, 1.184165072977162e-01, 4.134829572288493e-02, 8.575552357712529e-01, 3.112174433003142e+02, 4.826159581835232e+01, 2.024929463183243e+05, 5.786502924807900e+04, 2.350630784175496e+02, 1.194870637457403e+00, -1.152974548871256e+00
61, 1.221178769094284e-01, 4.192235554288097e-02, 8.635508573167573e-01, 3.119566749505303e+02, 4.833887399553073e+01, 2.037558855292405e+05, 5.842239014449754e+04, 2.356794664181186e+02, 1.187815226582238e+00, -1.138188001227796e+00
62, 1.258857053631397e-01, 4.250672272336174e-02, 8.670256091324634e-01, 3.131025478080042e+02, 4.842450881821826e+01, 2.045627309743633e+05, 5.867049639145951e+04, 2.357318055579009e+02, 1.187215907032871e+00, -1.131605847967822e+00
63, 1.297208938813724e-01, 4.309876037351264e-02, 8.608966160520675e-01, 3.127051016375136e+02, 4.621264442963191e+01, 2.032753311884293e+05, 5.809710381845244e+04, 2.350898222554288e+02, 1.194564616394137e+00, -1.146817709175983e+00
64, 1.336310900131304e-01, 4.365006498678302e-02, 8.568813721809342e-01, 3.119621400155410e+02, 4.400470165346738e+01, 2.023716946630803e+05, 5.778169261077190e+04, 2.349091336086573e+02, 1.196632008877234e+00, -1.155185434431950e+00
65, 1.376092961489771e-01, 4.421095843594276e-02, 8.622328756514752e-01, 3.126448068470951e+02, 4.403043316848631e+01, 2.035005420945550e+05, 5.827758788026970e+04, 2.354546845126856e+02, 1.190388727078656e+00, -1.142029543741173e+00
66, 1.416559236707085e-01, 4.478149872234891e-02, 8.663318272380053e-01, 3.137269243142531e+02, 4.421050188534374e+01, 2.044256889043092e+05, 5.859690287457243e+04, 2.356246582363572e+02, 1.188442779550449e+00, -1.133558252685651e+00
67, 1.457713512338294e-01, 4.536173923322797e-02, 8.619535165834575e-01, 3.135634550267372e+02, 4.249791926631779e+01, 2.035186777675912e+05, 5.817463742311556e+04, 2.351149173330735e+02, 1.194277453580602e+00, -1.144760775604419e+00
68, 1.499620268500130e-01, 4.590631591106276e-02, 8.574026614522838e-01, 3.128124639754161e+02, 4.034289036400074e+01, 2.025117356663642e+05, 5.779991758605505e+04, 2.348403598711838e+02, 1.197418796839421e+00, -1.154701933585269e+00
69, 1.542234515557699e-01, 4.645104174269772e-02, 8.608131574520267e-01, 3.132064090701608e+02, 4.000246875459846e+01, 2.032220578739436e+05, 5.812503869159098e+04, 2.352256643401629e+02, 1.193010083451365e+00, -1.146076608866953e+00
70, 1.585547217957180e-01, 4.700469573083556e-02, 8.647178554182640e-01, 3.141715739125479e+02, 4.013366558526849e+01, 2.040958938598698e+05, 5.843668815793169e+04, 2.354190014673696e+02, 1.190797197695707e+00, -1.137808681009587e+00
71, 1.629560703182467e-01, 4.756730762704266e-02, 8.615931348838559e-01, 3.141685666192952e+02, 3.877222408625914e+01, 2.034602433788649e+05, 5.812365815927560e+04, 2.350071389745664e+02, 1.195510706080587e+00, -1.146113233802405e+00
72, 1.674324558893350e-01, 4.809971213446472e-02, 8.570668606509482e-01, 3.134700272344690e+02, 3.675740075306847e+01, 2.024679727594192e+05, 5.774172972179075e+04, 2.346958616625907e+02, 1.199071708589896e+00, -1.156245632888079e+00
73, 1.719812471316881e-01, 4.862479862756813e-02, 8.591499291464985e-01, 3.136566131681371e+02, 3.618533849011248e+01, 2.028919692596737e+05, 5.795016303364809e+04, 2.349719650195578e+02, 1.195913153021534e+00, -1.150715985731153e+00
74, 1.766006706782073e-01, 4.915803851064227e-02, 8.627494116482985e-01, 3.145499311941177e+02, 3.628253781756998e+01, 2.036974877546630e+05, 5.823746507910626e+04, 2.351517074594855e+02, 1.193856450381252e+00, -1.143093984599519e+00
75, 1.812907882974559e-01, 4.969943891389748e-02, 8.601696015492624e-01, 3.145858566295169e+02, 3.508599303072185e+01, 2.031773894783626e+05, 5.797432035623647e+04, 2.347912569602770e+02, 1.197980511466182e+00, -1.150075102232353e+00
76, 1.860556634137311e-01, 5.021209407789390e-02, 8.559837459998094e-01, 3.139253119822741e+02, 3.322423265738877e+01, 2.022605039138291e+05, 5.762035964574296e+04, 2.344988903062778e+02, 1.201324469029780e+00, -1.159465529410248e+00
