"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
80, 3.117420565537397e-01, -5.853806455854676e-02, 1.199808224300055e+00, 3.172526442669903e+02, -9.515431797575342e+00, 2.721859741578754e+05, 9.208174202223877e+04, 2.673572943490801e+02, 8.070376735050965e-01, -2.452197047679518e-01
81, 2.855282736886283e-01, -5.750994007707043e-02, 1.214091715749708e+00, 3.146749318378934e+02, -1.483207188153355e+01, 2.749659488906180e+05, 9.363830604646288e+04, 2.686781802009443e+02, 7.896370202358242e-01, -2.039247229129608e-01
82, 2.601562677756566e-01, -5.610768164032957e-02, 1.228346524419213e+00, 3.117342640238624e+02, -1.917574180758497e+01, 2.777246913544778e+05, 9.520739411501956e+04, 2.700101700598339e+02, 7.718711999890315e-01, -1.622974834858969e-01
83, 2.356942293586536e-01, -5.444571092915068e-02, 1.241227005311286e+00, 3.086848697917351e+02, -2.282946820478011e+01, 2.802001539216194e+05, 9.664250936475799e+04, 2.712359977242859e+02, 7.553115135754702e-01, -1.242244859891766e-01
84, 2.121999462953850e-01, -5.256200682431608e-02, 1.253380553897335e+00, 3.056593261816280e+02, -2.636306952398991e+01, 2.825368174523256e+05, 9.799572340314802e+04, 2.723670181000458e+02, 7.398402981684740e-01, -8.832429281267687e-02
85, 1.897193515760418e-01, -5.048029788221134e-02, 1.265227601824378e+00, 3.024516623479774e+02, -2.990894980712123e+01, 2.848078102267355e+05, 9.932155308443001e+04, 2.734671656962673e+02, 7.246011612646939e-01, -5.315059498894664e-02
86, 1.682866702984873e-01, -4.821759380295589e-02, 1.276996736404628e+00, 2.989218318967322e+02, -3.352016173867164e+01, 2.870521035652137e+05, 1.006504273211560e+05, 2.745719581903704e+02, 7.090950337649601e-01, -1.789612640355069e-02
87, 1.479246755143100e-01, -4.578982514557514e-02, 1.289142948153275e+00, 2.949413122909447e+02, -3.734008752642499e+01, 2.893588136381590e+05, 1.020313673181076e+05, 2.757166382954800e+02, 6.927986577327021e-01, 1.873962466706319e-02
88, 1.286478312981447e-01, -4.319497645652585e-02, 1.302718990346744e+00, 2.903041802029495e+02, -4.153474361953214e+01, 2.919395304743018e+05, 1.035724041472916e+05, 2.769642140977069e+02, 6.747485783618125e-01, 5.962267663837155e-02
89, 1.104622107762386e-01, -4.042725104437671e-02, 1.317696550695895e+00, 2.846855320280054e+02, -4.588366662054943e+01, 2.947713434046348e+05, 1.052878527338641e+05, 2.783512685428449e+02, 6.542945566650882e-01, 1.051327983893832e-01
90, 9.336142864325341e-02, -3.750895126521406e-02, 1.333916654138555e+00, 2.778949848177581e+02, -5.033518849271378e+01, 2.978159686816753e+05, 1.071677312043041e+05, 2.798760185178132e+02, 6.312918135629442e-01, 1.550051750589543e-01
91, 7.733658348232829e-02, -3.443240838207506e-02, 1.351699465463518e+00, 2.695359076613546e+02, -5.513280527291730e+01, 3.011298363128877e+05, 1.092528131716319e+05, 2.815676990126745e+02, 6.050574955375655e-01, 2.103215132673285e-01
92, 6.237668517204871e-02, -3.117585657301993e-02, 1.370981533982651e+00, 2.587052440025816e+02, -6.029023857049425e+01, 3.046647285834131e+05, 1.115720524001963e+05, 2.835007173884600e+02, 5.740265232086422e-01, 2.718499440742072e-01
93, 4.847116248816957e-02, -2.770556134144643e-02, 1.395929984308845e+00, 2.436489874101377e+02, -6.648827123127737e+01, 3.092500278186022e+05, 1.145612262321668e+05, 2.858935536397630e+02, 5.337604431072427e-01, 3.511514551149534e-01
94, 3.564495491799427e-02, -2.387478956318128e-02, 1.427579226640329e+00, 2.205967559439292e+02, -7.238221087102394e+01, 3.149797581671058e+05, 1.184403625638557e+05, 2.890213024095485e+02, 4.771873300317875e-01, 4.540632929431335e-01
95, 2.390975419175307e-02, -1.963905493480586e-02, 1.468805254661153e+00, 1.829681537949535e+02, -7.515496753923786e+01, 3.223314926942894e+05, 1.236050542568012e+05, 2.931584098532862e+02, 3.923433934835649e-01, 5.910803680057006e-01
96, 1.339667534553172e-02, -1.473681231498847e-02, 1.548629529685033e+00, 1.131585392256638e+02, -6.480459527421223e+01, 3.374054725030951e+05, 1.327661194775219e+05, 2.986551931278637e+02, 2.430526698114215e-01, 8.341195338701582e-01
97, 4.590063178616403e-03, -8.585219728682564e-03, 1.643495986739036e+00, 1.159829936760425e+01, -1.158014758135410e+01, 3.564330048676041e+05, 1.425405130486939e+05, 3.021342884328407e+02, 2.861883612451391e-02, 1.093430040141359e+00
