"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
51, 7.874141928367798e-01, 3.648888309354163e-02, 1.176966793001860e+00, 2.759525380350402e+02, -3.882166994299754e+01, 2.646635725409547e+05, 9.266931749193025e+04, 2.742850266783325e+02, 7.131419606734966e-01, -2.296315773400149e-01
52, 8.029248402233755e-01, 3.427178776685741e-02, 1.184413901229729e+00, 2.740084070960962e+02, -3.972176821881164e+01, 2.660988585037671e+05, 9.349501008419646e+04, 2.749889749357193e+02, 7.031855970676636e-01, -2.077263038756423e-01
53, 8.178229711641704e-01, 3.208069957897763e-02, 1.191505142421165e+00, 2.719067069449534e+02, -4.067678330565476e+01, 2.674532842669493e+05, 9.429351987516471e+04, 2.756869902009278e+02, 6.932232450067227e-01, -1.865421785740806e-01
54, 8.321025599326716e-01, 2.990671633572663e-02, 1.199072407709807e+00, 2.696136939838039e+02, -4.151750702037432e+01, 2.688974276195567e+05, 9.514683531785283e+04, 2.764262509849314e+02, 6.825697988536281e-01, -1.639040826307067e-01
55, 8.457667817142311e-01, 2.777752355531409e-02, 1.207127605806269e+00, 2.673730747479994e+02, -4.207759032819685e+01, 2.704482718133708e+05, 9.604158867725190e+04, 2.771637947186331e+02, 6.718307454407367e-01, -1.401666563725774e-01
56, 8.588195683614787e-01, 2.570222445161219e-02, 1.214603006013320e+00, 2.652141363847747e+02, -4.255917412520827e+01, 2.718855887266530e+05, 9.687383982502580e+04, 2.778449502737816e+02, 6.618097780905090e-01, -1.180873872186794e-01
57, 8.712672538592060e-01, 2.368549458600508e-02, 1.221493680770530e+00, 2.629455348001285e+02, -4.313675287103024e+01, 2.731976914183083e+05, 9.765377963172332e+04, 2.785019099020124e+02, 6.520463723580191e-01, -9.739591570557324e-02
58, 8.831162813810621e-01, 2.171620084851521e-02, 1.228657999015724e+00, 2.605031049984450e+02, -4.366762948946158e+01, 2.745596378229291e+05, 9.846695522131260e+04, 2.791835606374432e+02, 6.418087430235669e-01, -7.582271300114247e-02
59, 8.943800869642660e-01, 1.981101716941146e-02, 1.236231965465616e+00, 2.580902449843636e+02, -4.398405326154708e+01, 2.760110404919377e+05, 9.931504568829021e+04, 2.798629598842239e+02, 6.314906256996417e-01, -5.332323344219002e-02
60, 9.050723287357787e-01, 1.797449670998754e-02, 1.243356306574776e+00, 2.557021860277262e+02, -4.427113515620211e+01, 2.773725799514418e+05, 1.001164908994290e+05, 2.805048423504774e+02, 6.216319776950546e-01, -3.206123269137415e-02
61, 9.152074381139634e-01, 1.620510212814749e-02, 1.250152754800814e+00, 2.531511219201129e+02, -4.465393123405956e+01, 2.786599485374429e+05, 1.008925570267433e+05, 2.811424285692911e+02, 6.117276805814077e-01, -1.147252824557355e-02
62, 9.248001003768191e-01, 1.449455264808714e-02, 1.257363137273937e+00, 2.504135458034802e+02, -4.494099575868417e+01, 2.800265915966278e+05, 1.017150211393791e+05, 2.818089067977581e+02, 6.012493155463334e-01, 1.034709502665791e-02
63, 9.338699981784264e-01, 1.285569604201148e-02, 1.264915068422403e+00, 2.476880029534960e+02, -4.504385291888958e+01, 2.814681231200888e+05, 1.025662925727522e+05, 2.824708498915979e+02, 5.907085375953893e-01, 3.293096427182841e-02
64, 9.424353878405202e-01, 1.128753991078227e-02, 1.272038749325372e+00, 2.448289299452250e+02, -4.518724966419113e+01, 2.828161943792902e+05, 1.033810053746818e+05, 2.831201342021789e+02, 5.802325069669554e-01, 5.454494856616755e-02
65, 9.505142239883686e-01, 9.783649259370201e-03, 1.279397280363493e+00, 2.417460104980425e+02, -4.532958678798229e+01, 2.842058740144995e+05, 1.042254114117618e+05, 2.837909489404686e+02, 5.692584037084144e-01, 7.694668176621680e-02
66, 9.581263574956631e-01, 8.345230745417747e-03, 1.287210980619461e+00, 2.384259212357628e+02, -4.532781467326016e+01, 2.856824067232406e+05, 1.051211559401292e+05, 2.844924447076950e+02, 5.576084428368286e-01, 1.007104033157199e-01
67, 9.652921139105467e-01, 6.974122005740126e-03, 1.295399688462798e+00, 2.349254370299185e+02, -4.524324167841957e+01, 2.872333172040003e+05, 1.060563768049499e+05, 2.852090770944293e+02, 5.455113511600170e-01, 1.255214152896290e-01
68, 9.720310617031982e-01, 5.667374718284992e-03, 1.303655480465460e+00, 2.309856820107608e+02, -4.509749253614517e+01, 2.887811109085435e+05, 1.070150813780299e+05, 2.859647462997092e+02, 5.325257057191265e-01, 1.509554400605465e-01
69, 9.783627426354865e-01, 4.422094784343121e-03, 1.313236240230353e+00, 2.266872822780645e+02, -4.494232716326056e+01, 2.905989969519820e+05, 1.081059614227351e+05, 2.867722538990807e+02, 5.183684553611524e-01, 1.798960239048425e-01
70, 9.843062383702008e-01, 3.233930640606041e-03, 1.323515280952596e+00, 2.214860685792914e+02, -4.454116135359281e+01, 2.925275119441849e+05, 1.092982122827204e+05, 2.876831622737171e+02, 5.020191438107274e-01, 2.115259323849863e-01
71, 9.898816063330094e-01, 2.104762412253461e-03, 1.339620582475005e+00, 2.153345999353863e+02, -4.393160646845306e+01, 2.956615749756425e+05, 1.110537858739330e+05, 2.887898346909171e+02, 4.815566157251122e-01, 2.581005534516411e-01
72, 9.951069681580849e-01, 1.028680081518246e-03, 1.348184926165956e+00, 1.961565068367526e+02, -4.053814491465477e+01, 2.966195425471124e+05, 1.126960049804748e+05, 2.911986780170300e+02, 4.343014983377907e-01, 3.016679282278685e-01
73, 0.000000000000000e+00, 0.000000000000000e+00, 1.532231264486103e+00, 2.848043468197132e-01, 2.278244418125849e+02, 3.371199212543790e+05, 1.280730046168918e+05, 2.911813960507548e+02, 4.346559984131573e-01, 7.096131916978786e-01
74, 1.000000000000000e+00, 0.000000000000000e+00, 1.338560644678120e+00, 1.651215388312049e+02, -1.557028905688504e+01, 2.932169726177607e+05, 1.131767688404494e+05, 2.945435955624739e+02, 3.601341598011984e-01, 3.144223890564758e-01
75, 9.950075124092339e-01, 2.737954483794270e-04, 1.438420195398851e+00, 2.777000618748265e+02, -1.549350004867074e+01, 3.196197202928722e+05, 1.170920084157253e+05, 2.835775386452901e+02, 5.727700817304366e-01, 4.182920305892447e-01
76, 9.896787314464088e-01, 5.264899793374042e-04, 1.418034220890349e+00, 2.707361410153484e+02, -1.187757873469884e+01, 3.149145123701504e+05, 1.156079258720007e+05, 2.840084379508942e+02, 5.656692849556866e-01, 3.789199515994554e-01
77, 9.839951793611126e-01, 7.526842740604471e-04, 1.420438476360627e+00, 2.694324526276421e+02, -9.631103298931889e+00, 3.153476945462906e+05, 1.159046881016261e+05, 2.842555285361141e+02, 5.615668439877410e-01, 3.867929273954457e-01
78, 9.779380078425327e-01, 9.472320877983507e-04, 1.420899276606909e+00, 2.683268189111990e+02, -7.357480206789874e+00, 3.153815873411831e+05, 1.160106895574792e+05, 2.844232275507060e+02, 5.587693988619324e-01, 3.896051009571720e-01
79, 9.714878392046027e-01, 1.095540719769462e-03, 1.422887095519650e+00, 2.681310994616971e+02, -4.717204305992491e+00, 3.157887968605867e+05, 1.162069811460722e+05, 2.845064546432419e+02, 5.573769954295966e-01, 3.948126333574359e-01
80, 9.646254099707996e-01, 1.181594542903086e-03, 1.422955984494583e+00, 2.677415287108772e+02, -2.074425460286395e+00, 3.157806186013233e+05, 1.162360637470623e+05, 2.845638796606241e+02, 5.564146744812599e-01, 3.955841823984618e-01
81, 9.573316955090736e-01, 1.205049314493324e-03, 1.423509250009516e+00, 2.677181485179682e+02, 3.588952463098930e-01, 3.158961194671621e+05, 1.162885257472001e+05, 2.845816653621118e+02, 5.561162762863736e-01, 3.969759769601067e-01
82, 9.495874329913329e-01, 1.161215969782362e-03, 1.424347291741703e+00, 2.675780954215148e+02, 2.785399513482993e+00, 3.160668629852772e+05, 1.163722035784499e+05, 2.846188825256800e+02, 5.554915965135223e-01, 3.991959142510540e-01
83, 9.413735295551132e-01, 1.039131488765503e-03, 1.423788036618187e+00, 2.675417474098109e+02, 5.703622090171483e+00, 3.159489292920288e+05, 1.163203331124284e+05, 2.846037663390682e+02, 5.557452002599844e-01, 3.978198128380500e-01
84, 9.326724116162981e-01, 8.007249349363507e-04, 1.422006469975180e+00, 2.679817225119352e+02, 8.462966541864812e+00, 3.155991681401857e+05, 1.161291892911734e+05, 2.844920712053373e+02, 5.576171606998349e-01, 3.927488485169047e-01
