"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,          43,       -3.85338928,     -0.9914582633,      -1.793452283,       1.601043975,       -7.38516935,     0.01003239948,       0.882911312,                 0,                 0,                 0,      0.1243140757,     -0.0255625391,      0.8825982045,                 0,       88.00599635
          0,           0,          44,      -3.858618043,      -1.009610589,      -1.819631499,       1.595085066,      -7.446634124,     0.01003361976,      0.8831123419,                 0,                 0,                 0,      0.1243445512,    -0.02556942256,      0.8827991201,                 0,       88.01532877
          0,           0,          45,      -3.878509011,       -1.02766157,      -1.845948823,       1.574754042,      -7.523244527,     0.01003802478,      0.8833167011,                 0,                 0,                 0,       0.124387265,    -0.02557325806,      0.8830034908,                 0,       87.99706323
          0,           0,          46,      -3.913320043,      -1.046464489,      -1.867637507,       1.540003127,      -7.606208177,     0.01004723884,      0.8835552701,                 0,                 0,                 0,      0.1244497579,    -0.02557366729,      0.8832422373,                 0,       87.94010812
          0,           0,          47,      -3.958449343,      -1.066071349,      -1.886598646,       1.495435047,       -7.68234705,     0.01006171156,      0.8838477345,                 0,                 0,                 0,      0.1245344244,    -0.02557099446,      0.8835350474,                 0,       87.84268253
          0,           0,          48,      -4.006055651,       -1.08606676,      -1.907167165,       1.448732232,      -7.736067706,     0.01008072985,      0.8841996762,                 0,                 0,                 0,      0.1246386269,    -0.02556617706,      0.8838874697,                 0,       87.71187104
          0,           0,          49,      -4.047942685,      -1.106023562,      -1.931056367,       1.407798958,      -7.754448458,     0.01010265369,      0.8846024277,                 0,                 0,                 0,      0.1247556405,     -0.0255605044,      0.8842907776,                 0,       87.56139272
          0,           0,          50,      -4.079095258,      -1.125731475,      -1.956446453,       1.377366128,      -7.736314588,     0.01012537696,      0.8850360225,                 0,                 0,                 0,      0.1248764089,    -0.02555527615,       0.884724936,                 0,       87.40771092
          0,           0,          51,      -4.097738829,      -1.145110283,       -1.97995517,       1.359065684,      -7.694979797,     0.01014682255,      0.8854741945,                 0,                 0,                 0,      0.1249916247,    -0.02555150904,      0.8851636163,                 0,       87.26615554
          0,           0,          52,      -4.104426894,      -1.164067874,      -1.999452273,       1.352342363,      -7.648969338,     0.01016537665,       0.885890827,                 0,                 0,                 0,       0.125093862,    -0.02554976288,       0.885580658,                 0,       87.14786061
          0,           0,          53,      -4.100982476,      -1.182423594,      -2.014824415,       1.355428175,      -7.611929175,     0.01018019855,      0.8862659101,                 0,                 0,                 0,      0.1251790809,    -0.02555007118,      0.8859560337,                 0,       87.05782166
          0,           0,          54,      -4.090732599,      -1.199963102,      -2.027389193,       1.365087284,       -7.59050928,     0.01019124393,      0.8865885301,                 0,                 0,                 0,      0.1252467812,    -0.02555203837,      0.8862788368,                 0,       86.99512409
          0,           0,          55,       -4.07839643,      -1.216607029,      -2.039254522,       1.376719671,      -7.588477395,     0.01019925504,      0.8868584717,                 0,                 0,                 0,      0.1252998026,    -0.02555491408,      0.8865488819,                 0,       86.95325968
          0,           0,          56,      -4.070529728,      -1.232640089,      -2.053319104,        1.38392161,      -7.604385527,     0.01020502802,      0.8870833373,                 0,                 0,                 0,      0.1253419687,    -0.02555820927,      0.8867737974,                 0,       86.92610504
          0,           0,          57,      -4.070908854,      -1.248424039,      -2.069491816,       1.383044133,       -7.63568126,     0.01020971837,      0.8872755247,                 0,                 0,                 0,      0.1253783041,    -0.02556126907,      0.8869660178,                 0,       86.90499509
          0,           0,          58,      -4.081997375,      -1.264511677,      -2.087392678,       1.371721117,      -7.679680687,     0.01021434394,      0.8874483634,                 0,                 0,                 0,      0.1254131928,    -0.02556361373,      0.8871389024,                 0,       86.88256133
          0,           0,          59,      -4.103686178,      -1.281240237,      -2.107351114,       1.350085436,      -7.732447934,     0.01021949924,      0.8876126161,                 0,                 0,                 0,      0.1254492731,    -0.02556508301,      0.8873032294,                 0,       86.85480524
          0,           0,          60,      -4.134011435,       -1.29863753,      -2.130177751,       1.320089556,      -7.788914508,     0.01022542298,      0.8877754667,                 0,                 0,                 0,      0.1254876674,    -0.02556572797,      0.8874661865,                 0,       86.82041498
          0,           0,          61,      -4.169804647,      -1.316490854,      -2.156392659,       1.284860124,      -7.843449163,     0.01023208408,      0.8879406119,                 0,                 0,                 0,      0.1255284199,    -0.02556572866,      0.8876314659,                 0,       86.78003472
          0,           0,          62,      -4.207457735,      -1.334498537,      -2.185825031,       1.247929558,      -7.890785145,     0.01023928139,      0.8881088834,                 0,                 0,                 0,      0.1255708877,    -0.02556531958,      0.8877998908,                 0,       86.73546993
          0,           0,          63,      -4.243699323,      -1.352388144,      -2.217574831,       1.212466362,       -7.92718959,      0.0102467363,      0.8882790834,                 0,                 0,                 0,      0.1256140653,    -0.02556473084,      0.8879702529,                 0,       86.68897662
          0,           0,          64,      -4.276196886,      -1.369963609,      -2.250115583,        1.18069665,      -7.951557458,      0.0102541765,      0.8884489517,                 0,                 0,                 0,      0.1256569073,    -0.02556414343,      0.8881402831,                 0,       86.64264279
          0,           0,          65,      -4.303748348,      -1.387101366,      -2.281576026,       1.153739426,      -7.965603935,     0.01026139158,      0.8886161019,                 0,                 0,                 0,      0.1256985808,     -0.0255636714,      0.8883075883,                 0,       86.59801112
